Product Name,Year,Market Value ($M),Profit per Product ($),Ingredients,Likely Skin Cancer Type,Fertility Rate Reduction (%),SUNSCREEN_ID
PureSun SPF 50,Post-1990,1216,39.11,"Agave Americana Leaf Extract (Organic), Alcohol (Organic), Arnica Montana Flower Extract (Organic), Beeswax (Organic), Citric Acid, Citrus Aurantium Dulcis (Organic Orange) Fruit Water, Dicaprylyl Carbonate, Fragrance, Glycerin (Organic), Hydrogenated Methyl Abietate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Linum Usitatissimum (Organic Linseed) Seed Oil,Persea Gratissima (Organic Avocado) Oil, Plankton Extract, Sodium Stearoyl Glutamate, Sorbitol/Sebacic Acid Copolymer Behenate, Tocopherol, Trisodium Ethylenediamine Disuccinate, Xanthan Gum.",Low Risk,0,11
RayBlock 75+,Post-1990,2065,29.48,"Daywear Plus Mlti/Prt Moist Spf 15 Division: El (Estee Lauder)Active Ingredients: Octinoxate 7.50% , Octisalate 5.00% , Avobenzone 2.00%Ingredients: Water , Dimethicone , Caprylic/Capric/Myristic/Stearic Triglyceride , Butylene Glycol , Cyclopentasiloxane , Cetyl Ricinoleate , Steareth-2 , Di-C12-15 Alkyl Fumarate , Polysilicone-11 , Pentylene Glycol , Steareth-21 , Aspalathus Linearis (Red Tea) Leaf Extract , Camellia Sinensis (White Tea) Leaf Extract , Coffea Arabica (Coffee) Seed Extract , Polygonum Cuspidatum Root Extract , Triticum Vulgare (Wheat) Germ Extract , Betula Alba (Birch) Bark Extract , Laminaria Ochroleuca Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Saccharomyces Lysate Extract , Rosmarinus Officinalis (Rosemary) Extract , Vitis Vinifera (Grape) Seed Extract , Ethylbisiminomethylguaiacol Manganese Chloride , Cholesterol , Phospholipids , Maltodextrin , Ascorbyl Tocopheryl Maleate , Cyclodextrin , Sodium Hyaluronate , Hydrogenated Lecithin , Trehalose , Nordihydroguaiaretic Acid , Palmitoyl Hydroxypropyltrimonium Amylopectin/Glycerin Crosspolymer , Pantethine , Linolenic Acid , Oryzanol , Lecithin , Squalane , Linoleic Acid , Glycerin , Sodium Pca , Urea , Caprylic/Capric Triglyceride , Polyethylene , Isopropyl Myristate , Behenyl Alcohol , Sodium Carbomer , Tromethamine , Stearyl Alcohol , Pvp/Hexadecene Copolymer , Polymethyl Methacrylate , Polyquaternium-51 , Carbomer , Fragrance , Disodium Edta , Sorbic Acid , Potassium Sorbate , Sodium Dehydroacetate , Chlorphenesin , Phenoxyethanol , Linalool , Butylphenyl Methylpropional , Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde , Benzyl Salicylate , Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77491, Ci 77492, Ci 77499)","Melanoma, SCC, BCC, None (Protective)",6,12
SkinSafe 100+,Post-1990,4949,15.43,"Water, Glycerin, Butylene Glycol, Isononyl Isononanoate, Pentylene Glycol, Carthamus Tinctorius (Safflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, C12-15 Alkyl Benzoate, Coconut Alkanes, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ascorbyl Glucoside, Melatonin, Tetrahexyldecyl Ascorbate, Tocopherol, Tocopheryl Acetate, Nordihydroguaiaretic Acid, Sodium Hyaluronate, Palmitoyl Tripeptide-38, Echium Plantagineum Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Boerhavia Diffusa Root Extract, Phospholipids, Sphingolipids, Saccharide Isomerate, Citrus Aurantium Dulcis (Orange) Flower Extract, Glycolic Acid, Sodium PCA, Oleanolic Acid, PEG-60 Almond Glycerides, Hydrogenated Lecithin, Acrylates/Carbamate Copolymer, Bis-Ethylhexyl Hydroxydimethoxy Benzylmalonate, Coco-Caprylate/Caprate, Aluminum Hydroxide, Xanthan Gum, Citric Acid, Disodium EDTA, Hydroxypropyl Cyclodextrin, Sodium Citrate, Caprylyl Glycol, Isohexadecane, Polyhydroxystearic Acid, Sodium Hydroxide, Tromethamine, BHT, Polysorbate 60, Carbomer, Isopropyl Titanium Triisostearate, Sorbitan Isostearate, Stearic Acid, Benzyl Alcohol, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Citrus Aurantium Dulcis (Orange) Oil, [+/- (May Contain): Titanium Dioxide (CI 77891), Mica (CI 77019), Iron Oxides (CI 77491, CI 77492, CI 77499)].",None (Protective),0,13
SolarCare 100+,Post-1990,2334,11.8,"Water, Isododecane, Dimethicone, C12-15 Alkyl Benzoate, Undecane, Styrene/Acrylates Copolymer, Caprylyl Methicone, Nylon-12, Butyloctyl Salicylate, Phenethyl Benzoate, Dicaprylyl Carbonate, Silica, Triethylhexanoin, Isohexadecane, Tridecane, Dicaprylyl Ether, Talc, Dimethicone/Peg-10/15 Crosspolymer, Aluminum Hydroxide, Stearic Acid, Pentylene Glycol, Peg-9 Polydimethylsiloxyethyl Dimethicone, Iron Oxides, Aluminum Stearate, Peg-8 Laurate, Phenoxyethanol, Magnesium Sulfate, Caprylyl Glycol, Alumina, Polyhydroxystearic Acid, Disteardimonium Hectorite, Tocopherol, Propylene Carbonate, Benzoic Acid, Disodium Stearoyl Glutamate, Peg-9.",Low Risk,0,14
AquaBlock 75,Post-1990,2497,34.36,"Water, Dimethicone, Glycerin, Hydrogenated Polyisobutene, Beeswax, Poly C10-30 Alkyl Acrylate, Sucrose Stearate, Saccharomyces/Xylinum/ Black Tea Ferment, Sodium Polyacrylate, Hydrolyzed Linseed Extract, Hydrolyzed Soy Protein , Hydrolyzed Hyaluronic Acid, Sodium Hydroxide, Sodium Benzoate, Red 4, Stearic Acid, Phenoxyethanol, Adenosine, Acetyl Tetrapeptide-9, Peg-100 Stearate, Palmitic Acid, Silica, Chlorphenesin, Yellow 5, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethiconol, Limonene, Benzyl Alcohol, Linalool, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Geraniol, Disodium Stearoyl Glutamate, Disodium EDTA, Citronellol, Aluminum Starch Octenylsuccinate, Coumarin, Glyceryl Stearate, Fragrance.",Low Risk,0,15
UV Defense SPF 60,Post-1990,1333,25.77,"Alcohol Denat., Isobutane, Propane, Isododecane, Ethylhexyl Methoxycrylene, PVP, Methyl Dihydroabietate, Hydrolyzed Hyaluronic Acid, Rhodiola Rosea Root Extract, Water, Lavandula Angustifolia (Lavender) Oil, Silica Silylate, Pentylene Glycol.",Low Risk,0,16
SolarCare 75+,Post-1990,1046,32.22,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Anacyclus Pyrethrum Root Extract, Water, Arnica Montana Flower Extract, Butyloctyl Salicylate, C12-15 Alkyl Benzoate, Caprylyl Glycol, Carbomer, Cucumis Sativus (Cucumber) Fruit Extract, Cyclohexasiloxane, Cyclopentasiloxane, Disodium EDTA, Ethylhexylglycerin, Glycerin, Hexylene Glycol,Methyl Methacrylate/ Glycol Dimethacrylate Crosspolymer, Phenoxyethanol,Polysorbate 20, Sodium Hyaluronate, Sorbitan Oleate, Tocopheryl Acetate, Triethanolamine.",Low Risk,0,17
TotalSun SPF 30,Post-1990,3070,6.31,"Calcium Aluminum Borosilicate, Silica, Polymethyl Methacrylate, Ethylhexylglycerin, Triethoxycaprylysilane, Nylon-6/12, Sodium Dehydroacetate, Olive Glycerides, Ascorbyl Palmitate, Ceramide 3. May Contain (+/-): Iron Oxides (Ci 77492, 77491, 77499), Titanium Dioxide (Ci 77891).",None (Protective),0,18
SunGuard 15+,Post-1990,295,38.66,"Titanium Dioxide 7.30% , Zinc Oxide 6.90%Water , Trioctyldodecyl Citrate , Butylene Glycol , Cyclopentasiloxane , Dimethicone , C12-15 Alkyl Benzoate , Steareth-2 , Stearyl Heptanoate , Silica , Lecithin , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Gentiana Lutea (Gentian) Root Extract , Rosmarinus Officinalis (Rosemary) Leaf Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Betula Alba (Birch) Bark Extract , Cucumis Sativus (Cucumber) Fruit Extract , Laminaria Saccharina Extract , Saccharomyces Lysate Extract , Helianthus Annuus (Sunflower) Seedcake , Sodium Hyaluronate , Sorbitan Tristearate , Linoleic Acid , Polyquaternium-51 , Caprylyl Methicone , Sorbitol , Sodium Rna , Peg-40 Stearate , Caprylyl Glycol , Tocopheryl Acetate , Phytantriol , Stearic Acid , Hydrogenated Lecithin , Cellulose , Magnesium Ascorbyl Phosphate , Stearyl Dimethicone , Ascorbyl Tocopheryl Maleate , Nordihydroguaiaretic Acid , Linolenic Acid , Pantethine , Bisabolol , Ceteth-2 , Peg/Ppg-18/18 Dimethicone , Polyglyceryl-6 Polyricinoleate , Steareth-20 , Isopropyl Titanium Triisostearate , Propylene Glycol Dicaprate , Sodium Stearate , Nylon-12 , Citric Acid , Aluminum Hydroxide , Nylon-6 , Hexylene Glycol , Xanthan Gum , Disodium Edta , Bht , Phenoxyethanol , Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77491, Ci 77492, Ci 77499)",None (Protective),0,19
PureSun SPF 30,Post-1990,2404,46.94,"Alcohol (Organic), Algae (Organic) Extract, Aloe Barbadensis (Organic) Leaf Extract, Butyloctyl Salicylate, Cucumis Sativus (Organic Cucumber) Fruit Extract, Fragaria Vesca (Organic Strawberry) Fruit Extract, Glycerin (Organic), Va/Butyl Maleate/Isobornyl Acrylate Copolymer, Water.",Low Risk,0,20
EcoShield 45+,Post-1990,4312,49.21,"Water, Cyclomethicone, Butylene Glycol, Ethylhexyl Methoxycinnamate, Dimethicone, PEG-10 Dimethicone, Titanium Dioxide, Dimethicone/Vinyl Dimethicone Crosspolymer, Caprylyl Methicone, Polyacrylate-15, Polyacrylate-17, Glycerin, Panthenol, Dipropylene Glycol, Silica, Sodium Chloride, Methicone, Dipotassium Glycyrrhizate, Acanthopanax Senticosus (Eleuthero) Root Extract, Caprylyl Glycol, Rhodiola Rosea Extract, Rhaponticum Carthamoides Root Extract, Alumina, Phenoxyethanol, Tocopheryl Acetate, Disteardimonium Hectorite, Disodium EDTA.",None (Protective),0,21
UV Defense SPF 75,Post-1990,2069,29.24,*USDA National Organic Program Certified Organic Extracts.,Low Risk,0,22
RayBlock 50+,Post-1990,1450,31.62,"Vitamin C, Skin Nurturing Complex Proprietary Blend (Polypodium Leucotomos Extract, ALA, Green Tea Extract, Turmeric, Lutein), Vegetarian Capsule, Rice Flour, Silica.",Low Risk,0,23
PureSun SPF 100,Post-1990,1196,42.46,"Avobenzone 3.0% , Octisalate 5.0%Water , Butyloctyl Salicylate , Glycerin , Polyester-8 , Polysorbate 60 , Cetyl Alcohol , Butylene Glycol , Sorbitan Stearate , Dimethicone , Tridecyl Stearate , Peg-100 Stearate , Saccharomyces Ferment Filtrate , Sodium Hyaluronate , Camellia Sinensis Leaf Extract , Astrocaryum Murumuru Seed Butter , Tridecyl Trimellitate , Dipentaerythrityl Hexacaprylate/Hexacaprate , Algae Extract , Plankton Extract , Laminaria Saccharina Extract , Tamarindus Indica Seed Extract , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Acetyl Glucosamine , Whey Protein/Lactis Protein/Proteine Du Petit-Lait , Glycine Soja (Soybean) Protein , Centaurium Erythraea (Centaury) Extract , Cetyl Palmitate , Polyethylene , Acrylates/C10-30 Alkyl Acrylate Crosspolymer , Acetyl Hexapeptide-8 , Biotin , Aminopropyl Ascorbyl Phosphate , Sorbitan Palmitate , Sorbitan Olivate , Ethylhexylglycerin , Caffeine , Tocopheryl Acetate , Ethylene/Va Copolymer , Sodium Polyacrylate , Trehalose , Ergothioneine , Lecithin , Hydroxyethylcellulose , Sodium Benzoate , Sodium Hydroxide , Pentylene Glycol , Disodium Edta , Phenoxyethanol , Chlorphenesin , Yellow 5 (Ci 19140) , Red 4 (Ci 14700)",BCC,2,24
SolarCare 50+,Post-1990,807,15.09,"Water, Methyl Trimethicone, Butyloctyl Salicylate, Neopentyl Glycol Diheptanoate, Aleurites Moluccana (Kukui) Seed Oil, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, PEG-100 Stearate, Butylene Glycol, Glyceryl Stearate, Dipentaerythrityl Tri-Polyhydroxystearate, Potassium Cetyl Phosphate, Algae Extract, Laminaria Ochroleuca Extract, Scutellaria Baicalensis Root Extract, Glycyrrhetinic Acid, Caffeine, Caprylic/Capric Triglyceride, Cholesterol, Sorbitol, Yeast Polysaccharides, Ethylhexylglycerin, Sodium Hyaluronate, Cetyl Alcohol, Caprylyl Glycol, Vp/Eicosene Copolymer, Saccharide Isomerate, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Stearic Acid, Dehydroxanthan Gum, Fragrance, Sodium Dehydroacetate, Sodium Hydroxide, Citric Acid, Silica, Disodium EDTA, BHT, Phenoxyethanol, Mica, Titanium Dioxide (Ci 77891).",None (Protective),0,25
UV Defense SPF 45,Post-1990,819,11.68,"Octinoxate 7.5% , Octisalate 3.5% , Titanium Dioxide 1.7%Water , Neopentyl Glycol Diheptanoate , Simmondsia Chinensis (Jojoba) Butter , Glycerin , Petrolatum , Octyldodecyl Neopentanoate , Di-C12-15 Alkyl Fumarate , Dimethicone , Hydrogenated Lecithin , Butylene Glycol , Hydrogenated Polyisobutene , Pentaerythrityl Tetraethylhexanoate , Hexyldecyl Stearate , Polyethylene , Pentylene Glycol , Potato Starch Modified , Citrus Reticulata (Tangerine) Peel Extract , Saccharomyces Lysate Extract , Polygonum Cuspidatum Root Extract , Algae Extract , Coffea Robusta Seed Extract , Astrocaryum Murumuru Seed Butter , Padina Pavonica Thallus Extract , Betula Alba (Birch) Bark Extract , Creatine , Adenosine Phosphate , Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein , Linoleic Acid , Hydrolyzed Rice Extract , Hydroxyproline , Triticum Vulgare (Wheat) Germ Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Coleus Barbatus Extract , Acetyl Hexapeptide-8 , Sodium Dna , Caffeine , Cholesterol , Ethylhexyl Stearate , Sorbitol , Ethylhexyl Palmitate , Decarboxy Carnosine Hcl , Phytosphingosine , Propylene Glycol Dicaprate , Tocopheryl Acetate , Peg-100 Stearate , Disodium Nadh , Caprylyl Glycol , Acrylates Copolymer , C12-16 Alcohols , Polysilicone-11 , Squalane , Palmitic Acid , Trehalose , Glyceryl Stearate , Sodium Rna , Dipalmitoyl Hydroxyproline , Proline , Citric Acid , Potassium Sorbate , Aminopropyl Ascorbyl Phosphate , Behenyl Alcohol , Methicone , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Hexylene Glycol , Xanthan Gum , Sodium Hydroxide , Sodium Hyaluronate , Aluminum Hydroxide , Potassium Sulfate , Glycine , Lecithin , Carbomer , Disodium Edta , Phenoxyethanol","Melanoma, SCC, None (Protective)",4,26
UV Defense SPF 60,Post-1990,2004,41.64,"Daywear Adv Mt-Prt Ao&Uv Def Spf50 Division: El (Estee Lauder)Active Ingredients: Avobenzone 3.00% , Homosalate 5.00% , Octisalate 5.00% , Octocrylene 2.70% , Oxybenzone 3.00%Ingredients: Water , Butyloctyl Salicylate , Methyl Trimethicone , Neopentyl Glycol Diheptanoate , Aleurites Moluccana (Kukui) Seed Oil , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Peg-100 Stearate , Butylene Glycol , Glyceryl Stearate , Dipentaerythrityl Tri-Polyhydroxystearate , Potassium Cetyl Phosphate , Gentiana Lutea (Gentian) Root Extract , Polygonum Cuspidatum Root Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Triticum Vulgare (Wheat) Germ Extract , Fumaria Officinalis Flower/Leaf/Stem Extract , Citrus Medica Limonum (Lemon) Fruit Extract , Hydrolyzed Rice Bran Extract , Hydrolyzed Rice Extract , Rosmarinus Officinalis (Rosemary) Leaf Extract , Vitis Vinifera (Grape) Seed Extract , Artemia Extract , Laminaria Ochroleuca Extract , Algae Extract , Hydrogenated Lecithin , Thermus Thermophillus Ferment , Squalane , Glycerin , Sorbitol , Linoleic Acid , Caffeine , Cholesterol , Ethylhexylglycerin , Lecithin , Ergothioneine , Sodium Hyaluronate , Polyquaternium-51 , Cetyl Alcohol , Trehalose , Palmitoyl Hydroxypropyltrimonium Amylopectin/Glycerin Crosspolymer , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Vp/Eicosene Copolymer , Tetrahexyldecyl Ascorbate , Saccharide Isomerate , Caprylyl Glycol , Caprylic/Capric Triglyceride , Sodium Pca , Cyclodextrin , Urea , Dehydroxanthan Gum , Tocopheryl Acetate , Glycyrrhetinic Acid , Nordihydroguaiaretic Acid , Ascorbyl Tocopheryl Maleate , Citric Acid , Stearic Acid , Sodium Dehydroacetate , Fumaric Acid , Ethylbisiminomethylguaiacol Manganese Chloride , Silica , Phenoxyethanol , Disodium Edta , Bht , Fragrance , Mica , Titanium Dioxide (Ci 77891) , Blue 1 (Ci 42090) , Yellow 5 (Ci 19140)","Melanoma, Melanoma, SCC, BCC, None (Protective)",13,27
PureSun SPF 45,Post-1990,598,15.99,"Acrylates/Carbamate Copolymer, Aluminum Hydroxide, Ascorbyl Glucoside, Benzyl Alcohol, BHT, Bis-ethylhexyl Hydroxydimethoxy Benzylmalonate, Boerhavia Diffusa Root Extract, Butylene Glycol, C12-15 Alkyl Benzoate, Caprylyl Glycol, Carbomer, Carthamus Tinctorius (Safflower) Seed Oil, Citric Acid, Citrus Aurantium Dulcis (Orange) Oil, Citrus Aurantium Dulcis (Orange) Peel Extract, Coco-Caprylate/Caprate, Coconut Alkanes, Disodium EDTA, Echium Plantagineum Seed Oil, Glycerin, Glycolic Acid, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxypropyl Cyclodextrin, Isohexadecane, Isononyl Isononanoate, Isopropyl Titanium Triisostearate, Magnesium Ascorbyl Phosphate, Melatonin, Nordihydroguaiaretic Acid, Oenothera Biennis (Evening Primrose) Oil, Olea Europaea (Olive) Fruit Oil, Oleanolic Acid, Oryza Sativa (Rice) Extract, Palmitoyl Tripeptide-38, PEG-60 Almond Glycerides, Pentylene Glycol, Phenoxyethanol, Phospholipids, Polyhydroxystearic Acid, Polysorbate 60, Potassium Sorbate, Propanediol , Saccharide Isomerate, Sodium Benzoate, Sodium Citrate, Sodium Hyaluronate, Sodium PCA, Sphingolipids, Stearic Acid, Tetrahexyldecyl Ascorbate, Tocopherol, Water, Xanthan Gum, Zinc PCA.",Low Risk,0,28
AquaBlock 45,Post-1990,2056,38.84,"Cera Alba (Beeswax), Ricinus Communis (Castor) Seed Oil, Hydrogenated Olive Oil Decyl Esters, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Copernicia Cerifera (Carnauba) Wax, Parfum (Fragrance), Persea Gratissima (Avocado) Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Passiflora Incarnata Seed Oil, Sucrose Tetrastearate Triacetate, Citrus Limon (Lemon) Peel Oil, Ribes Nigrum (Black Currant) Seed Oil, Tocopherol, Ascorbyl Tetraisopalmitate, Ascorbyl Palmitate, Ammonium Glycyrrhizate, Vanillin, BHT, Limonene, Citral, Benzyl Alcohol, Linalool, Geraniol, Phenoxyethanol.",Low Risk,0,29
SkinSafe 50+,Post-1990,398,15.1,"Water, Butylene Glycol, Pentylene Glycol, Isononyl Isononanoate, Neopentyl Glycol Diethylhexanoate, Bis-PEG/PPG-16/16 PEG/PPG-16/16 Dimethicone, Dicaprylyl Ether, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Phospholipids, Retinyl Palmitate, Tocopheryl Acetate, Ascorbyl Palmitate, Caprylic/Capric Triglyceride, Panthenol, Dimethicone, Magnesium Aspartate, Zinc Gluconate, Copper Gluconate , Punica Granatum Extract, Sodium Ascorbyl Phosphate, Alnus Firmifolia Fruit Extract, Artemia Extract, Lactic Acid, Epilobium Angustifolium Flower/Leaf/Stem Extract, Neopentyl Glycol Diisostearate, Polysorbate 80, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Aminomethyl Propanol, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Butylparaben, Isobutylparaben, Benzyl Salicylate, Linalool, Fragrance.",Low Risk,0,30
SunArmor SPF 60,Post-1990,3700,11.57,"Water, Isononyl Isononanoate, Caprylyl,, Methicone, Dicaprylyl Ether, Polyester-8, Dimethicone, Glycerin, Propanediol, Cetearyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer Sorbitan Stearate, Phenoxyethanol, Pyrus Malus (Apple) Fruit Extract, Potassium Cetyl Phosphate, Ceteareth-20, Sodium Polyacrylate Starch, Diethylhexyl Syringylidenemalonate, Sodium PCA, Hydrogenated Palm Glycerides, Ethylhexylglycerin, Chlorphenesin, Sodium Ascorbyl Glucoside, Butylene Glycol, Disodium EDTA, Trimethylcyclohexyl Butylcarbamate, Xanthan Gum, Citrus Tangerina (Tangerine) Peel Oil, Cymbopogon Schoenanthus Oil, Elettaria Cardamomum Seed Oil, Eucalyptus Globulus Leaf Oil, Eugenia Caryophyllus (Clove) Flower Oil, Lavandula Hybrida Oil, Vanillin, Limonene, Polygonum Aviculare Extract, BHT, Citral, Hippophae Rhamnoides Fruit Extract Maltodextrin, Portulaca Oleracea Extract Potassium Sorbate, Sodium Benzoate, Tocopherol.",Low Risk,0,31
